"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
NSE_EQ|INE364U01010, 3563, ADANIGREEN, ADANI GREEN ENERGY LTD, 1051.8, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE742F01042, 15083, ADANIPORTS, ADANI PORT & SEZ LTD, 1136.75, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE079A01024, 1270, AMBUJACEM, AMBUJA CEMENTS LTD, 499.85, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE021A01026, 236, ASIANPAINT, ASIAN PAINTS LIMITED, 2472.2, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE238A01034, 5900, AXISBANK, AXIS BANK LIMITED, 1142.4, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE917I01010, 16669, BAJAJ-AUTO, BAJAJ AUTO LIMITED, 9481.65, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE918I01026, 16675, BAJAJFINSV, BAJAJ FINSERV LTD., 1600.85, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE296A01024, 317, BAJFINANCE, BAJAJ FINANCE LIMITED, 6683.95, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE397D01024, 10604, BHARTIARTL, BHARTI AIRTEL LIMITED, 1569.3, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE376G01013, 11373, BIOCON, BIOCON LIMITED., 331.5, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE216A01030, 547, BRITANNIA, BRITANNIA INDUSTRIES LTD, 4848.35, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE059A01026, 694, CIPLA, CIPLA LTD, 1486.5, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE522F01014, 20374, COALINDIA, COAL INDIA LTD, 414.05, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE361B01024, 10940, DIVISLAB, DIVI S LABORATORIES LTD, 5998.35, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE089A01031, 881, DRREDDY, DR. REDDY S LABORATORIES, 1214.45, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE066A01021, 910, EICHERMOT, EICHER MOTORS LTD, 4986.2, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE047A01021, 1232, GRASIM, GRASIM INDUSTRIES LTD, 2598.65, , , 0.05, 1, EQUITY, , NSE_EQ
NSE_EQ|INE860A01027, 7229, HCLTECH, HCL TECHNOLOGIES LTD, 1898.4, , , 0.05, 1, EQUITY, , NSE_EQ
